ts,src_ip,src_port,dst_ip,dst_port,proto,service,duration,src_bytes,dst_bytes,conn_state,missed_bytes,src_pkts,src_ip_bytes,dst_pkts,dst_ip_bytes,dns_query,dns_qclass,dns_qtype,dns_rcode,dns_AA,dns_RD,dns_RA,dns_rejected,ssl_version,ssl_cipher,ssl_resumed,ssl_established,ssl_subject,ssl_issuer,http_trans_depth,http_method,http_uri,http_referrer,http_version,http_request_body_len,http_response_body_len,http_status_code,http_user_agent,http_orig_mime_types,http_resp_mime_types,weird_name,weird_addl,weird_notice,label
1556352368,192.168.1.35,49193,192.168.1.1,53,udp,dns,0.00494,80,112,SF,0,2,136,2,168,www.mqtt-dashboard.com,1,1,0,F,T,T,F,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1
1556361121,192.168.1.39,42550,192.168.1.152,80,tcp,http,0.142092,365,548,SF,0,6,685,4,764,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1
1556362754,192.168.1.195,50457,192.168.1.79,7678,tcp,http,0.022281,175,1693,SF,0,5,387,6,1945,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0
1556360124,192.168.1.35,53876,192.168.1.190,80,tcp,http,0.226313,395,522,SF,0,6,715,4,738,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1
1556353643,192.168.1.39,58936,192.168.1.195,80,tcp,http,0.169192,303,561,SF,0,6,563,4,733,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1
1556353207,192.168.1.39,45024,176.28.50.165,80,tcp,http,1.132245,5191,322,SF,0,9,5667,7,694,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1
1556359225,192.168.1.35,36074,192.168.1.195,80,tcp,http,0.722627,2458,3399,SF,0,7,2758,7,3691,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1
1556361954,192.168.1.35,52586,52.28.231.150,80,tcp,http,1.033264,5596,2386,SF,0,10,6124,7,2758,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1
1556354052,192.168.1.1,51301,192.168.1.195,64529,udp,-,0.079888,573,0,S0,0,2,629,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0
1556359451,192.168.1.39,54240,192.168.1.195,80,tcp,-,0.227428,3106,3615,SF,1646,7,1760,6,3867,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1
1556353952,192.168.1.35,54388,192.168.1.190,80,tcp,http,0.299128,2488,1280,SF,0,7,2860,4,1496,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1
1556357595,192.168.1.39,60252,192.168.1.195,80,tcp,http,0.145013,324,561,SF,0,6,584,4,733,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1
1556356235,192.168.1.35,54294,52.28.231.150,80,tcp,http,0.655196,400,66,SF,0,5,668,5,334,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1
1556354237,192.168.1.35,38496,176.28.50.165,80,tcp,http,1.086804,4801,322,SF,0,9,5277,7,694,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1
1556357329,192.168.1.35,47738,192.168.1.1,53,udp,dns,0.004137,80,112,SF,0,2,136,2,168,www.mqtt-dashboard.com,1,1,0,F,T,T,F,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1
